age,race,gender,education,occupation,decision
32,White,Male,HS-grad,Craft-repair,1
17,White,Female,10th,?,0
30,White,Male,11th,Handlers-cleaners,0
31,White,Female,HS-grad,Adm-clerical,0
42,White,Male,HS-grad,Handlers-cleaners,0
24,White,Male,Bachelors,Sales,0
38,White,Male,Prof-school,Prof-specialty,1
56,White,Male,HS-grad,Other-service,1
28,White,Female,Some-college,Sales,0
36,White,Female,HS-grad,Machine-op-inspct,0
53,White,Male,9th,Handlers-cleaners,0
56,White,Male,Some-college,Sales,0
49,Black,Male,Assoc-voc,Craft-repair,1
55,White,Male,Some-college,Sales,0
22,White,Male,HS-grad,Craft-repair,0
21,White,Female,Some-college,Other-service,0
40,White,Male,Bachelors,Exec-managerial,0
30,Black,Male,Bachelors,Exec-managerial,0
29,White,Male,Bachelors,Prof-specialty,1
19,Black,Male,Some-college,Other-service,0
47,White,Female,Bachelors,Exec-managerial,1
20,White,Female,Some-college,Adm-clerical,0
31,White,Male,Assoc-acdm,Adm-clerical,1
35,White,Male,HS-grad,?,0
39,White,Male,Some-college,Craft-repair,0
28,White,Female,Assoc-acdm,Sales,0
24,White,Female,HS-grad,Other-service,0
38,White,Male,HS-grad,Craft-repair,0
37,White,Male,Bachelors,Sales,0
46,Black,Female,Assoc-acdm,Tech-support,0
38,White,Male,Masters,Prof-specialty,1
43,White,Male,HS-grad,Craft-repair,0
27,White,Female,Assoc-voc,Adm-clerical,0
20,White,Male,Some-college,Sales,0
49,Asian-Pac-Islander,Male,Some-college,Craft-repair,1
61,White,Male,HS-grad,Craft-repair,0
27,White,Female,Some-college,Sales,0
19,White,Male,Some-college,Other-service,0
45,White,Female,Assoc-voc,Prof-specialty,1
70,White,Male,Some-college,Tech-support,0
31,Black,Female,HS-grad,Transport-moving,0
22,White,Male,Some-college,Other-service,0
36,White,Female,HS-grad,Other-service,0
64,White,Male,11th,Craft-repair,0
43,White,Female,Some-college,?,0
47,White,Female,Some-college,Adm-clerical,0
34,White,Female,HS-grad,Adm-clerical,0
33,Asian-Pac-Islander,Female,Bachelors,Exec-managerial,0
21,White,Male,HS-grad,Craft-repair,0
52,White,Male,HS-grad,?,1
48,White,Male,HS-grad,Craft-repair,0
23,White,Male,Bachelors,Handlers-cleaners,0
71,Black,Male,Some-college,Sales,0
29,White,Male,HS-grad,Craft-repair,0
42,Black,Male,Bachelors,Other-service,0
68,White,Female,1st-4th,?,0
25,White,Female,HS-grad,Other-service,0
44,Asian-Pac-Islander,Female,Masters,Exec-managerial,0
28,Asian-Pac-Islander,Female,HS-grad,Exec-managerial,0
45,White,Male,Masters,Sales,1
36,White,Female,Some-college,Other-service,0
39,White,Male,Assoc-acdm,Exec-managerial,0
46,White,Male,Masters,Protective-serv,0
18,White,Male,11th,Handlers-cleaners,0
66,White,Female,Assoc-voc,Prof-specialty,0
27,White,Male,HS-grad,Other-service,0
28,White,Male,HS-grad,Protective-serv,0
51,White,Male,Some-college,Sales,1
27,White,Male,Bachelors,Craft-repair,0
28,White,Male,Bachelors,Prof-specialty,1
27,White,Female,HS-grad,Sales,0
21,Black,Male,HS-grad,Craft-repair,0
34,Black,Male,HS-grad,Handlers-cleaners,0
18,White,Male,HS-grad,Other-service,0
33,White,Male,Bachelors,Prof-specialty,0
44,Black,Male,Some-college,Exec-managerial,1
43,White,Female,Some-college,Adm-clerical,0
30,Black,Male,Some-college,Craft-repair,0
40,White,Male,7th-8th,Machine-op-inspct,1
37,White,Male,Some-college,Adm-clerical,1
34,Black,Male,HS-grad,Adm-clerical,0
41,White,Female,Bachelors,Exec-managerial,0
53,White,Female,Bachelors,?,0
31,White,Female,Masters,Prof-specialty,0
58,White,Male,Doctorate,Prof-specialty,1
38,Black,Female,Some-college,Machine-op-inspct,0
24,White,Male,Some-college,Machine-op-inspct,0
41,Black,Male,Bachelors,Craft-repair,0
47,White,Male,Some-college,Tech-support,0
41,White,Male,Bachelors,Tech-support,0
23,White,Male,5th-6th,Transport-moving,0
36,White,Male,Some-college,Craft-repair,0
40,White,Female,Masters,Exec-managerial,1
35,White,Male,Masters,Prof-specialty,1
24,White,Male,HS-grad,Sales,0
26,White,Female,Masters,Prof-specialty,0
19,White,Male,HS-grad,?,0
51,White,Male,Bachelors,Exec-managerial,1
42,White,Female,Some-college,Prof-specialty,0
37,White,Female,HS-grad,Adm-clerical,0
18,White,Female,11th,Sales,0
36,Black,Male,Bachelors,Other-service,1
35,White,Male,HS-grad,Craft-repair,0
58,White,Female,HS-grad,Sales,1
17,White,Female,11th,Sales,0
44,Black,Male,HS-grad,Transport-moving,0
37,White,Male,HS-grad,Craft-repair,1
35,Amer-Indian-Eskimo,Female,Some-college,Sales,0
60,Asian-Pac-Islander,Male,HS-grad,Craft-repair,0
54,White,Male,7th-8th,Machine-op-inspct,1
37,Black,Male,Bachelors,Exec-managerial,1
50,White,Female,Assoc-acdm,Sales,0
38,White,Male,Bachelors,Sales,0
45,White,Male,Bachelors,Prof-specialty,0
25,White,Male,10th,Craft-repair,0
31,White,Male,Some-college,Handlers-cleaners,0
64,White,Male,1st-4th,?,0
90,Black,Male,HS-grad,Other-service,0
54,Black,Male,HS-grad,Adm-clerical,0
53,White,Female,Preschool,Machine-op-inspct,0
18,White,Female,HS-grad,Sales,0
60,Amer-Indian-Eskimo,Female,10th,?,0
66,White,Male,HS-grad,Farming-fishing,0
75,White,Female,Assoc-voc,Adm-clerical,0
65,White,Female,HS-grad,Adm-clerical,0
35,Black,Male,11th,Transport-moving,0
41,Black,Female,HS-grad,Sales,0
25,White,Male,Some-college,Adm-clerical,0
33,Other,Female,Some-college,Craft-repair,0
28,White,Male,Prof-school,Prof-specialty,1
59,White,Male,HS-grad,Other-service,0
40,White,Female,Some-college,Adm-clerical,0
41,White,Male,Bachelors,Exec-managerial,1
38,White,Male,Masters,Exec-managerial,1
23,White,Male,HS-grad,Transport-moving,0
40,White,Male,Bachelors,Prof-specialty,1
41,White,Female,HS-grad,Other-service,0
24,White,Male,Assoc-acdm,Protective-serv,0
20,White,Male,Some-college,?,0
38,White,Male,Some-college,Craft-repair,0
56,White,Male,HS-grad,Adm-clerical,0
58,White,Male,HS-grad,Adm-clerical,1
32,White,Female,HS-grad,Other-service,0
40,White,Male,Assoc-acdm,Tech-support,1
45,White,Male,HS-grad,Adm-clerical,0
41,White,Female,Prof-school,Prof-specialty,1
42,Black,Female,Bachelors,Adm-clerical,0
59,Black,Female,10th,Other-service,0
19,White,Male,Some-college,Adm-clerical,0
58,White,Male,Some-college,Transport-moving,0
42,Asian-Pac-Islander,Male,HS-grad,Farming-fishing,1
20,White,Female,HS-grad,Other-service,0
32,White,Female,HS-grad,Other-service,0
45,White,Female,Assoc-voc,Exec-managerial,0
50,White,Male,7th-8th,Craft-repair,0
36,White,Female,Bachelors,Prof-specialty,0
45,White,Male,HS-grad,Sales,0
17,White,Male,11th,Other-service,0
59,White,Male,Some-college,Sales,0
26,White,Male,11th,Craft-repair,0
37,Asian-Pac-Islander,Male,Some-college,Exec-managerial,1
19,White,Male,Some-college,?,0
64,White,Male,HS-grad,Exec-managerial,1
33,White,Female,Bachelors,Prof-specialty,0
33,White,Female,HS-grad,Craft-repair,1
61,White,Male,HS-grad,Exec-managerial,1
17,White,Male,9th,Other-service,0
50,White,Male,Masters,Farming-fishing,0
27,White,Male,Masters,Prof-specialty,0
30,White,Female,HS-grad,Prof-specialty,0
43,Black,Male,HS-grad,Handlers-cleaners,0
44,White,Male,Some-college,Craft-repair,1
35,White,Female,Some-college,Exec-managerial,0
25,White,Female,Some-college,Tech-support,0
24,White,Female,Some-college,Machine-op-inspct,1
22,White,Female,Bachelors,Prof-specialty,0
42,White,Male,Some-college,Craft-repair,1
34,Black,Female,Assoc-acdm,Sales,0
60,White,Female,Bachelors,Prof-specialty,0
21,White,Male,HS-grad,Handlers-cleaners,0
57,White,Male,Masters,Sales,1
41,White,Male,Prof-school,Prof-specialty,1
50,White,Male,Some-college,Other-service,0
25,White,Female,Bachelors,Exec-managerial,0
50,White,Male,7th-8th,Craft-repair,0
36,White,Male,Bachelors,Prof-specialty,0
31,White,Female,HS-grad,Prof-specialty,0
29,White,Male,Bachelors,Protective-serv,0
21,White,Male,Some-college,Sales,0
27,Black,Female,Bachelors,Tech-support,0
65,White,Male,HS-grad,Transport-moving,0
37,White,Female,Bachelors,Sales,0
39,Asian-Pac-Islander,Female,Masters,?,0
24,White,Male,HS-grad,Craft-repair,0
38,White,Male,HS-grad,Sales,0
48,White,Male,Bachelors,Adm-clerical,1
21,Asian-Pac-Islander,Female,Some-college,Other-service,0
31,White,Male,HS-grad,Transport-moving,1
55,White,Male,HS-grad,Sales,1
24,Asian-Pac-Islander,Female,Some-college,Adm-clerical,0
43,White,Female,HS-grad,Adm-clerical,0
26,White,Male,Assoc-acdm,Tech-support,0
46,White,Female,Assoc-acdm,Prof-specialty,0
35,White,Male,Assoc-acdm,Adm-clerical,1
41,White,Male,Some-college,Farming-fishing,1
26,White,Male,Bachelors,Sales,0
34,Asian-Pac-Islander,Male,Masters,Exec-managerial,1
19,Black,Female,Some-college,?,0
36,Black,Female,Bachelors,Prof-specialty,1
22,White,Male,Some-college,Sales,0
24,White,Male,Some-college,Machine-op-inspct,0
77,White,Male,Some-college,Sales,0
22,White,Female,5th-6th,Machine-op-inspct,0
29,White,Female,Some-college,Tech-support,0
62,White,Female,HS-grad,Other-service,0
39,White,Male,HS-grad,Exec-managerial,0
43,White,Male,Some-college,Craft-repair,0
35,White,Male,HS-grad,Transport-moving,0
29,White,Female,11th,Exec-managerial,0
76,White,Male,Masters,Craft-repair,0
63,White,Male,HS-grad,Farming-fishing,0
23,Black,Female,Assoc-voc,?,0
43,White,Female,Some-college,Prof-specialty,1
58,White,Male,HS-grad,Handlers-cleaners,0
66,White,Male,HS-grad,Transport-moving,0
41,Black,Male,Some-college,Craft-repair,0
26,White,Male,Bachelors,Adm-clerical,0
47,White,Male,Assoc-voc,Other-service,0
55,White,Male,10th,Adm-clerical,0
53,White,Male,HS-grad,Transport-moving,0
17,White,Male,5th-6th,Other-service,0
30,White,Male,HS-grad,Craft-repair,0
49,White,Male,Masters,Prof-specialty,0
19,Black,Male,HS-grad,Sales,0
45,Black,Male,HS-grad,Other-service,0
26,White,Male,Assoc-acdm,Sales,0
38,White,Male,Assoc-voc,Craft-repair,1
36,White,Male,HS-grad,Protective-serv,1
33,White,Male,HS-grad,Farming-fishing,0
22,Black,Female,Some-college,Protective-serv,0
43,White,Male,Bachelors,Sales,0
67,White,Male,11th,?,0
30,White,Female,Assoc-voc,?,0
56,White,Male,Assoc-acdm,Other-service,0
31,White,Male,Bachelors,Prof-specialty,0
33,White,Male,Bachelors,Exec-managerial,1
26,White,Male,HS-grad,Other-service,0
33,White,Male,Bachelors,Exec-managerial,1
46,White,Male,11th,Transport-moving,0
59,White,Male,Bachelors,?,1
38,White,Male,HS-grad,Adm-clerical,1
65,Other,Male,11th,Other-service,0
40,White,Male,Assoc-voc,Tech-support,1
42,White,Female,HS-grad,Adm-clerical,0
26,White,Male,9th,Craft-repair,0
36,White,Female,10th,Other-service,0
62,White,Male,Masters,Prof-specialty,1
43,White,Male,Bachelors,Transport-moving,0
43,White,Male,Bachelors,Exec-managerial,1
22,White,Male,HS-grad,Sales,0
28,White,Male,HS-grad,Craft-repair,0
56,White,Male,Some-college,Sales,0
22,White,Female,Assoc-acdm,Sales,0
57,White,Female,Bachelors,Exec-managerial,1
39,White,Female,HS-grad,Sales,0
26,White,Female,Some-college,Adm-clerical,0
17,White,Male,11th,Other-service,0
40,White,Male,Assoc-voc,Machine-op-inspct,1
45,Black,Male,HS-grad,Machine-op-inspct,0
44,Black,Male,HS-grad,Craft-repair,0
20,White,Female,Some-college,Adm-clerical,0
33,White,Female,HS-grad,Craft-repair,0
23,White,Male,Some-college,Sales,0
46,White,Male,Masters,Exec-managerial,0
38,White,Male,HS-grad,Sales,0
54,White,Male,HS-grad,Transport-moving,0
46,White,Female,5th-6th,Craft-repair,0
25,White,Male,Some-college,Craft-repair,0
46,White,Female,Some-college,Sales,0
36,White,Female,Some-college,Transport-moving,0
23,White,Female,HS-grad,Other-service,0
29,White,Male,HS-grad,Machine-op-inspct,0
44,White,Female,Some-college,Adm-clerical,1
19,White,Female,Some-college,Adm-clerical,0
19,White,Female,HS-grad,Other-service,0
35,White,Female,HS-grad,Other-service,1
27,White,Male,Bachelors,Craft-repair,0
46,White,Male,Assoc-acdm,Craft-repair,0
34,White,Male,Bachelors,Exec-managerial,1
34,White,Female,HS-grad,Other-service,0
44,White,Male,Some-college,Tech-support,0
45,White,Female,Some-college,Handlers-cleaners,0
20,White,Female,HS-grad,?,0
25,White,Male,Bachelors,Exec-managerial,1
52,White,Male,Bachelors,Exec-managerial,1
20,White,Male,Some-college,Handlers-cleaners,0
28,White,Female,Some-college,Other-service,0
50,White,Male,Bachelors,Protective-serv,1
34,White,Female,Assoc-voc,Tech-support,0
28,Other,Male,7th-8th,Handlers-cleaners,0
41,White,Male,Masters,Exec-managerial,1
28,White,Male,HS-grad,Adm-clerical,0
46,White,Male,HS-grad,Craft-repair,0
28,White,Female,Some-college,?,1
32,White,Male,Some-college,Exec-managerial,0
41,Black,Female,Some-college,Other-service,0
24,Black,Female,HS-grad,Handlers-cleaners,0
33,White,Female,Some-college,Exec-managerial,0
46,White,Male,Doctorate,Exec-managerial,1
31,White,Male,Some-college,Machine-op-inspct,0
35,White,Male,12th,Craft-repair,1
52,White,Male,1st-4th,Machine-op-inspct,0
30,White,Female,11th,Other-service,0
34,Black,Male,11th,Machine-op-inspct,0
34,White,Female,HS-grad,Transport-moving,0
20,White,Male,Some-college,Sales,0
17,White,Male,11th,Handlers-cleaners,0
32,White,Female,Bachelors,Exec-managerial,1
29,White,Male,HS-grad,Farming-fishing,0
33,White,Female,10th,Craft-repair,0
25,White,Male,HS-grad,Transport-moving,0
36,White,Male,Masters,Prof-specialty,0
23,White,Male,HS-grad,Handlers-cleaners,0
63,White,Male,HS-grad,Exec-managerial,1
47,White,Male,Masters,Prof-specialty,0
80,White,Male,HS-grad,?,0
17,White,Male,11th,?,0
40,White,Female,Bachelors,Prof-specialty,0
30,White,Female,Assoc-acdm,Other-service,1
27,Asian-Pac-Islander,Male,Some-college,Craft-repair,0
33,White,Male,Masters,Prof-specialty,1
34,Black,Male,HS-grad,Farming-fishing,0
34,White,Female,Some-college,Protective-serv,0
23,White,Male,Some-college,Adm-clerical,0
42,White,Female,Some-college,Adm-clerical,0
29,White,Male,Bachelors,Prof-specialty,0
45,White,Female,HS-grad,Adm-clerical,0
24,White,Male,HS-grad,Armed-Forces,0
44,White,Male,Some-college,Prof-specialty,1
27,White,Male,9th,Craft-repair,0
20,White,Male,Some-college,Sales,0
44,Black,Female,HS-grad,Exec-managerial,0
51,Amer-Indian-Eskimo,Male,HS-grad,Craft-repair,0
20,White,Male,HS-grad,Machine-op-inspct,0
17,White,Female,11th,?,0
19,Black,Female,HS-grad,Machine-op-inspct,0
45,White,Male,Some-college,Craft-repair,1
60,White,Male,HS-grad,Craft-repair,1
42,Black,Male,Assoc-acdm,Exec-managerial,1
44,White,Female,HS-grad,Sales,1
40,Asian-Pac-Islander,Male,Assoc-voc,Machine-op-inspct,1
30,White,Female,HS-grad,Exec-managerial,0
38,Black,Male,Some-college,Transport-moving,0
23,White,Male,HS-grad,Transport-moving,0
32,White,Male,Some-college,?,0
44,White,Male,Assoc-acdm,Farming-fishing,0
54,Black,Male,HS-grad,Transport-moving,0
32,White,Male,Bachelors,Prof-specialty,0
50,White,Male,1st-4th,Craft-repair,0
24,White,Female,Bachelors,Tech-support,0
37,White,Female,HS-grad,Adm-clerical,0
52,White,Male,HS-grad,Transport-moving,0
38,White,Male,Some-college,Transport-moving,0
49,White,Male,Masters,Exec-managerial,1
30,White,Female,Bachelors,Tech-support,1
60,White,Male,Some-college,Prof-specialty,1
22,White,Male,Some-college,?,0
35,White,Male,HS-grad,Craft-repair,0
30,White,Male,HS-grad,Transport-moving,0
67,White,Female,Assoc-voc,Other-service,0
46,White,Female,Bachelors,Craft-repair,0
17,White,Male,9th,Other-service,0
22,White,Male,Some-college,Handlers-cleaners,0
27,White,Male,10th,Other-service,0
23,White,Female,HS-grad,Other-service,0
33,White,Male,Assoc-acdm,Craft-repair,0
43,White,Male,Some-college,Craft-repair,0
28,White,Male,Bachelors,Prof-specialty,0
41,White,Female,HS-grad,Craft-repair,0
52,Black,Male,12th,?,0
25,Black,Female,Some-college,Adm-clerical,0
63,White,Male,1st-4th,?,0
59,White,Male,HS-grad,Transport-moving,0
45,White,Female,Bachelors,Prof-specialty,0
38,White,Male,Bachelors,Sales,1
40,White,Female,HS-grad,Other-service,0
46,White,Male,HS-grad,Adm-clerical,0
35,White,Female,Assoc-acdm,Exec-managerial,0
34,White,Female,HS-grad,Prof-specialty,0
33,White,Male,Bachelors,Craft-repair,0
41,White,Female,HS-grad,Adm-clerical,0
20,White,Male,Some-college,Machine-op-inspct,0
23,White,Male,5th-6th,Other-service,0
26,White,Female,Some-college,Prof-specialty,0
72,White,Male,HS-grad,?,0
23,White,Male,HS-grad,Farming-fishing,0
62,White,Male,HS-grad,Transport-moving,0
52,White,Male,Some-college,Adm-clerical,0
58,White,Female,Some-college,Other-service,0
25,White,Female,Bachelors,Sales,0
24,Black,Male,Bachelors,Exec-managerial,0
19,White,Male,Some-college,Protective-serv,0
43,White,Male,Some-college,Exec-managerial,0
47,Black,Female,HS-grad,Adm-clerical,0
39,White,Female,HS-grad,Other-service,0
49,White,Male,Assoc-voc,Handlers-cleaners,0
53,Black,Female,5th-6th,?,0
32,White,Male,Assoc-voc,Craft-repair,0
34,White,Male,Some-college,Prof-specialty,1
28,White,Male,HS-grad,Craft-repair,0
57,White,Female,Assoc-voc,?,0
25,Amer-Indian-Eskimo,Female,Some-college,Adm-clerical,0
20,White,Male,Some-college,?,0
21,White,Female,Some-college,?,0
34,White,Male,Bachelors,Prof-specialty,1
38,White,Male,Bachelors,Exec-managerial,1
50,White,Male,HS-grad,Exec-managerial,1
24,Black,Male,Some-college,Handlers-cleaners,0
37,White,Male,Some-college,Tech-support,1
44,White,Male,Some-college,Machine-op-inspct,1
28,White,Female,Some-college,Sales,0
42,White,Male,Bachelors,Exec-managerial,1
74,White,Female,Some-college,Adm-clerical,0
38,White,Male,HS-grad,Craft-repair,0
44,White,Male,Masters,Prof-specialty,0
44,Other,Female,11th,Machine-op-inspct,0
26,White,Male,HS-grad,Machine-op-inspct,0
36,Black,Male,HS-grad,Other-service,0
41,White,Female,Assoc-acdm,Exec-managerial,1
67,White,Male,Prof-school,Prof-specialty,1
39,White,Male,12th,Tech-support,0
57,Black,Female,1st-4th,Priv-house-serv,0
29,White,Male,Assoc-voc,Craft-repair,0
31,White,Female,Bachelors,Farming-fishing,0
34,Black,Female,HS-grad,?,0
44,White,Male,Some-college,Transport-moving,0
29,White,Male,Doctorate,Prof-specialty,0
30,White,Female,Some-college,Handlers-cleaners,0
27,White,Male,HS-grad,Transport-moving,0
27,White,Male,Some-college,Sales,0
32,White,Female,HS-grad,Handlers-cleaners,0
58,White,Female,10th,Other-service,0
35,White,Male,Some-college,Protective-serv,0
21,White,Male,HS-grad,Handlers-cleaners,0
28,White,Male,Some-college,Craft-repair,0
46,White,Male,Some-college,Exec-managerial,0
36,White,Female,HS-grad,Other-service,0
72,White,Female,11th,Adm-clerical,0
35,Black,Female,HS-grad,Machine-op-inspct,0
33,Black,Female,Assoc-voc,Craft-repair,1
69,White,Female,11th,Machine-op-inspct,0
35,White,Male,HS-grad,Machine-op-inspct,0
31,White,Female,HS-grad,Adm-clerical,0
34,White,Female,HS-grad,Tech-support,0
30,White,Male,11th,Other-service,0
28,White,Male,Bachelors,Transport-moving,0
54,White,Male,Bachelors,Sales,1
47,White,Male,Some-college,Prof-specialty,1
24,Black,Female,HS-grad,Handlers-cleaners,0
52,White,Male,Bachelors,Prof-specialty,1
20,Amer-Indian-Eskimo,Male,HS-grad,Handlers-cleaners,0
43,White,Male,Masters,Exec-managerial,0
45,White,Female,7th-8th,Other-service,0
29,White,Male,HS-grad,Craft-repair,0
47,White,Male,Masters,Exec-managerial,0
24,White,Male,HS-grad,Craft-repair,0
51,White,Male,HS-grad,Prof-specialty,0
17,White,Male,11th,Sales,0
37,White,Male,Assoc-voc,Craft-repair,1
27,White,Female,Doctorate,Prof-specialty,0
29,White,Male,Bachelors,Exec-managerial,1
18,White,Male,12th,?,0
36,White,Female,Assoc-acdm,Sales,0
58,White,Female,Bachelors,Prof-specialty,0
26,White,Male,Some-college,Craft-repair,0
65,White,Male,Some-college,?,1
57,White,Male,HS-grad,Sales,1
59,White,Male,HS-grad,Craft-repair,0
27,White,Male,HS-grad,Machine-op-inspct,0
31,White,Male,Bachelors,Tech-support,0
21,White,Female,Some-college,Sales,0
29,White,Male,Some-college,Adm-clerical,0
18,White,Male,11th,Other-service,0
52,White,Male,10th,Craft-repair,1
57,White,Male,Bachelors,Prof-specialty,0
42,White,Male,HS-grad,?,0
55,Asian-Pac-Islander,Female,HS-grad,?,0
60,White,Male,7th-8th,Transport-moving,1
31,White,Male,Bachelors,Prof-specialty,1
23,White,Female,Bachelors,Adm-clerical,0
27,White,Male,HS-grad,Sales,0
23,Amer-Indian-Eskimo,Female,Some-college,?,0
42,White,Male,Prof-school,Prof-specialty,1
25,White,Male,Some-college,Tech-support,0
49,White,Female,Bachelors,Prof-specialty,0
32,White,Male,Bachelors,Tech-support,0
19,White,Male,Some-college,Adm-clerical,0
60,White,Female,7th-8th,Other-service,0
42,White,Male,9th,Other-service,0
35,White,Male,Assoc-acdm,Farming-fishing,0
48,Black,Female,HS-grad,Adm-clerical,0
51,White,Male,Masters,Craft-repair,1
29,Amer-Indian-Eskimo,Male,HS-grad,Craft-repair,0
36,Black,Male,HS-grad,Exec-managerial,0
17,White,Female,10th,Other-service,0
52,White,Female,Masters,Prof-specialty,0
24,White,Male,HS-grad,Craft-repair,0
24,White,Male,HS-grad,Handlers-cleaners,0
26,White,Male,Bachelors,Prof-specialty,0
27,White,Female,Bachelors,Other-service,0
39,White,Male,HS-grad,Handlers-cleaners,0
30,Black,Male,HS-grad,Transport-moving,0
50,White,Male,HS-grad,Exec-managerial,0
52,White,Male,Bachelors,Sales,0
46,White,Male,Prof-school,Prof-specialty,1
23,White,Female,Bachelors,Sales,0
45,Black,Female,11th,Other-service,0
65,Black,Female,9th,Priv-house-serv,0
29,White,Male,Assoc-voc,Transport-moving,0
47,White,Male,9th,Handlers-cleaners,0
30,Black,Male,HS-grad,Farming-fishing,0
34,White,Male,HS-grad,Sales,1
38,White,Male,HS-grad,Sales,0
33,White,Male,Some-college,Exec-managerial,1
49,White,Male,Bachelors,Sales,1
47,Black,Female,Some-college,Other-service,0
49,Black,Female,10th,Other-service,0
43,White,Male,Some-college,Craft-repair,1
30,Black,Female,Bachelors,Adm-clerical,1
58,White,Male,HS-grad,Craft-repair,0
19,White,Female,HS-grad,Other-service,0
21,White,Male,Bachelors,Handlers-cleaners,0
